	round	batch	sent_id	sentence
0	1	0	t0	"Warmer-than-normal sea surface temperatures are a key player in the development of hurricanes such as Katrina and superstorm Sandy, which hit the U.S. east coast in 2011."
1	1	0	t1	We will continue to rely in part on fossil fuels while we transition to a low-carbon economy .
2	1	0	t10	The actual rise in sea levels measured only 1.2 millimeters instead of the previously accepted 1.6 to 1.9 millimeters.
3	1	0	t11	Claims of global warming have been greatly exaggerated.
4	1	0	t12	The Intergovernmental Panel on Climate Change should be clearer on how it draws conclusions from the body of research it assesses when gauging the impacts of global warming.
5	1	0	t13	Evidence now leans against global warming resulting from human-related greenhouse gas emissions.
6	1	0	t14	Flooding has been going on forever.
7	1	0	t15	Simply reducing emissions will not sufficiently limit global warming.
8	1	0	t16	Climate deniers blame global warming on aliens from outer space.
9	1	0	t17	"Global warming is inevitably going to be, at best, managed ."
10	1	0	t18	"Some parts of the world the world, such as the coast of California, saw sea levels fall."
11	1	0	t19	"If carbon dioxide emissions continue to rise beyond 2020, or even remain level, the temperature goals set in Paris become almost unattainable."
12	1	0	t2	The study is one more example that you can get any answer you want when the thermometer data errors are larger than the global warming signal you are looking for.
13	1	0	t20	Millions more people around the world are threatened by river floods in coming decades due to climate change.
14	1	0	t21	45 % of the general public view perceived global warming as caused by humans.
15	1	0	t22	Two billion people may be displaced by rising sea levels by the turn of the next century.
16	1	0	t23	Global warming is real and threatening.
17	1	0	t24	There is a danger that we can get used to global warming.
18	1	0	t25	Doing so will be central for getting global warming under control.
19	1	0	t26	Global sea-level rise is both undeniable and consequential.
20	1	0	t27	Global warming isn’t happening.
21	1	0	t28	Carbon dioxide will hit another record high in 201.
22	1	0	t29	You now have a global marketplace for clean energy that is stable and accelerating.
23	1	0	t3	"Fighting global warming, the stated purpose of AB32, is a loser with California voters."
24	1	0	t4	Four in ten Americans (40%) have personally experienced the effects of global warming.
25	1	0	t5	Fossil fuels will be used for the foreseeable future.
26	1	0	t6	Humans have a role and therefore as a matter of prudence we ought to have less carbon loading of the atmosphere.
27	1	0	t7	The global warming has become a new religion.
28	1	0	t8	The global warming crowd can’t get any crazier.
29	1	0	t9	Global warming is mainly caused by human activity.
30	1	1	t0	"Across the entire Arctic, forests are burning at a rate unseen in at least 10,000 years."
31	1	1	t1	Tackling climate change will be the greatest global health opportunity of the 21st century .
32	1	1	t10	Putting a price on carbon dioxide emissions would be central for getting global warming under control.
33	1	1	t11	Humans are causing global warming.
34	1	1	t12	There’s no sign of global warming hurting productivity yet.
35	1	1	t13	The net effect will be a general and global warming of the earth.
36	1	1	t14	There is no scientific proof that human emissions of carbon dioxide (CO2) are the dominant cause of the minor warming of the Earth’s atmosphere over the past 100 years.
37	1	1	t15	The West Antarctic Ice Sheet is going to go unstable.
38	1	1	t16	"The West Antarctic ice sheet could disappear in as little as 1,000 years."
39	1	1	t17	The data isn’t lining up with the Church of Global Warming.
40	1	1	t18	"A modest carbon tax could pay for all of this work at a fraction the cost of a cap on emissions of greenhouse gases, the approach pursued by Europe under the Kyoto Protocol (and rejected in the United States)."
41	1	1	t19	I am hoping that the scientists and politicians who have been blindly demonizing carbon dioxide for 37 years will one day open their eyes and look at the evidence.
42	1	1	t2	The world is in the midst of only the third global coral bleaching event ever recorded.
43	1	1	t20	The level of carbon dioxide in the atmosphere has never been higher.
44	1	1	t21	"The earth’s cattle population actually produces more carbon dioxide than automobiles, planes, and all other forms of transport combined."
45	1	1	t22	"There would n’t be much need for emission limits, cap and trade or carbon taxes."
46	1	1	t23	Climate alarmists’ve got it wrong on global warming.
47	1	1	t24	For-profit carbon project developers work with landowners to qualify large forests for credits.
48	1	1	t25	By now there should have been global warming equivalent to 2.8 degrees / century.
49	1	1	t26	Climate change models predict a 15 year period of global cooling.
50	1	1	t27	"Data on how sea levels are rising, relied upon by the United Nations, is adjusted upward in “ arbitrary ” ways."
51	1	1	t28	"At that time, the scientific community had just launched the first satellites that provided images of the sea-ice cover from space."
52	1	1	t29	Air travel produces far more carbon emissions than train travel.
