Unnamed: 0	fuzzy_match	canonical
0	AOC	Alexandria Ocasio-Cortez
1	a resolution like the one introduced by rep. alexandria ocasio-cortez, d-n.y.	Alexandria Ocasio-Cortez
2	alexandria ocasio-cortez	Alexandria Ocasio-Cortez
3	alexandria ocasio-cortez’s	Alexandria Ocasio-Cortez
4	congresswoman alexandria ocasio cortez’s (d-ny) crazy plan for america’s future	Alexandria Ocasio-Cortez
5	democratic new york rep. alexandria ocasio-cortez	Alexandria Ocasio-Cortez
6	new york representative alexandria ocasio-cortez	Alexandria Ocasio-Cortez
7	ocasio-cortez	Alexandria Ocasio-Cortez
8	ocasio-cortez 	Alexandria Ocasio-Cortez
9	rep. alexandria ocasio-cortez	Alexandria Ocasio-Cortez
10	rep. alexandria ocasio-cortez (d-n.y.)	Alexandria Ocasio-Cortez
11	rep. alexandria ocasio-cortez (d-ny)	Alexandria Ocasio-Cortez
12	rep. alexandria ocasio-cortez (d-ny) on monday evening	Alexandria Ocasio-Cortez
13	rep. alexandria ocasio-cortez (d.-n.y.)	Alexandria Ocasio-Cortez
14	rep. alexandria ocasio-cortez (d–n.y.)	Alexandria Ocasio-Cortez
15	rep.-elect alexandria ocasio-cortez	Alexandria Ocasio-Cortez
16	rep.-elect alexandria ocasio-cortez’s green new deal	Alexandria Ocasio-Cortez
17	representative alexandria ocasio-cortez (d-ny)	Alexandria Ocasio-Cortez
18	socialist [communist] alexandria ocasio-cortez	Alexandria Ocasio-Cortez
19	aoc	Alexandria Ocasio-Cortez
20	Aoc	Alexandria Ocasio-Cortez
21	A resolution like the one introduced by rep. alexandria ocasio-cortez, d-n.y.	Alexandria Ocasio-Cortez
22	Alexandria ocasio-cortez	Alexandria Ocasio-Cortez
23	Alexandria ocasio-cortez’s	Alexandria Ocasio-Cortez
24	Congresswoman alexandria ocasio cortez’s (d-ny) crazy plan for america’s future	Alexandria Ocasio-Cortez
25	Democratic new york rep. alexandria ocasio-cortez	Alexandria Ocasio-Cortez
26	New york representative alexandria ocasio-cortez	Alexandria Ocasio-Cortez
27	Ocasio-cortez	Alexandria Ocasio-Cortez
28	Ocasio-cortez 	Alexandria Ocasio-Cortez
29	Rep. alexandria ocasio-cortez	Alexandria Ocasio-Cortez
30	Rep. alexandria ocasio-cortez (d-n.y.)	Alexandria Ocasio-Cortez
31	Rep. alexandria ocasio-cortez (d-ny)	Alexandria Ocasio-Cortez
32	Rep. alexandria ocasio-cortez (d-ny) on monday evening	Alexandria Ocasio-Cortez
33	Rep. alexandria ocasio-cortez (d.-n.y.)	Alexandria Ocasio-Cortez
34	Rep. alexandria ocasio-cortez (d–n.y.)	Alexandria Ocasio-Cortez
35	Rep.-elect alexandria ocasio-cortez	Alexandria Ocasio-Cortez
36	Rep.-elect alexandria ocasio-cortez’s green new deal	Alexandria Ocasio-Cortez
37	Representative alexandria ocasio-cortez (d-ny)	Alexandria Ocasio-Cortez
38	Socialist [communist] alexandria ocasio-cortez	Alexandria Ocasio-Cortez
39	NOAA	National Oceanic and Atmospheric Administration
40	a collaborative effort between the national oceanic and atmospheric administration (noaa) and the university of colorado, boulder attempted to link rising methane levels with the expansion of hydraulic fracturing	National Oceanic and Atmospheric Administration
41	d. james baker, former administrator of the national oceanic and atmospheric administration	National Oceanic and Atmospheric Administration
42	dr. syukuro manabe of the geophysical fluid dynamics laboratory of the national oceanic and atmospheric administration	National Oceanic and Atmospheric Administration
43	martin hoerling at the us national oceanic and atmospheric administration	National Oceanic and Atmospheric Administration
44	martin hoerling, a meteorologist at the national oceanic and atmospheric administration who was not involved in the study	National Oceanic and Atmospheric Administration
45	martin hoerling, a research meteorologist who investigates extreme weather for the national oceanic and atmospheric administration	National Oceanic and Atmospheric Administration
46	martin p. hoerling, a researcher with the national oceanic and atmospheric administration who studies the causes of weather extremes	National Oceanic and Atmospheric Administration
47	scientists at the national oceanic and atmospheric administration	National Oceanic and Atmospheric Administration
48	scientists at the national oceanic and atmospheric administration's geophysical fluid dynamics laboratory in princeton, new jersey	National Oceanic and Atmospheric Administration
49	stephen a. montzka, a research chemist with the national oceanic and atmospheric administration	National Oceanic and Atmospheric Administration
50	study coauthor mark eakin, coordinator of the national oceanic and atmospheric administration’s coral reef watch program	National Oceanic and Atmospheric Administration
51	the national oceanographic and atmospheric administration	National Oceanic and Atmospheric Administration
52	the researchers from the national oceanic and atmospheric administration’s national centers for environmental information (ncei)	National Oceanic and Atmospheric Administration
53	the study at issue in smith’s inquiry, published by scientists with the national oceanic and atmospheric administration (noaa) in the journal science	National Oceanic and Atmospheric Administration
54	the study, edited by scientists from the national oceanic and atmospheric administration and the uk met office	Rot op met je milieu
55	noaa	National Oceanic and Atmospheric Administration
56	Noaa	National Oceanic and Atmospheric Administration
57	A collaborative effort between the national oceanic and atmospheric administration (noaa) and the university of colorado, boulder attempted to link rising methane levels with the expansion of hydraulic fracturing	National Oceanic and Atmospheric Administration
58	D. james baker, former administrator of the national oceanic and atmospheric administration	National Oceanic and Atmospheric Administration
59	Dr. syukuro manabe of the geophysical fluid dynamics laboratory of the national oceanic and atmospheric administration	National Oceanic and Atmospheric Administration
60	Martin hoerling at the us national oceanic and atmospheric administration	National Oceanic and Atmospheric Administration
61	Martin hoerling, a meteorologist at the national oceanic and atmospheric administration who was not involved in the study	National Oceanic and Atmospheric Administration
62	Martin hoerling, a research meteorologist who investigates extreme weather for the national oceanic and atmospheric administration	National Oceanic and Atmospheric Administration
63	Martin p. hoerling, a researcher with the national oceanic and atmospheric administration who studies the causes of weather extremes	National Oceanic and Atmospheric Administration
64	Scientists at the national oceanic and atmospheric administration	National Oceanic and Atmospheric Administration
